iter	Accuracy	MultiClass
0	0.6485	1.068713301
1	0.667625	1.040834103
2	0.6770625	1.014178361
3	0.680125	0.9901692591
4	0.6805	0.9689431269
5	0.68175	0.9489321261
6	0.68525	0.9303046595
7	0.6860625	0.9131423295
8	0.687	0.8983724512
9	0.6876875	0.8841004106
10	0.6888125	0.8704275703
11	0.6905	0.8574002444
12	0.6908125	0.8450275508
13	0.6920625	0.833944137
14	0.6909375	0.8238115463
15	0.6920625	0.8142609928
16	0.69475	0.8050019085
17	0.695875	0.7962002168
18	0.6955	0.7883136179
19	0.695875	0.7807330109
20	0.696125	0.7738528072
21	0.6955	0.7674619763
22	0.695375	0.7614791807
23	0.696125	0.7556028295
24	0.696375	0.7499543892
25	0.6971875	0.7450025764
26	0.69825	0.7394911113
27	0.6986875	0.7348465438
28	0.6985625	0.7304772879
29	0.698875	0.7263179751
30	0.6986875	0.7226330877
31	0.6988125	0.718839209
32	0.69925	0.7152006189
33	0.700125	0.7117466059
34	0.7	0.7084290268
35	0.700375	0.7049053468
36	0.700125	0.7017982688
37	0.700875	0.6990231506
38	0.70125	0.6962056018
39	0.700875	0.6940409957
40	0.7014375	0.6917696048
41	0.7018125	0.6893440782
42	0.70225	0.6870446335
43	0.7025	0.6848728596
44	0.7016875	0.6828386635
45	0.7019375	0.6811869961
46	0.7025625	0.6792532245
47	0.702125	0.6771450291
48	0.702625	0.6756205485
49	0.703	0.6737672233
50	0.7030625	0.6725861638
51	0.7031875	0.6709216297
52	0.703125	0.6692895809
53	0.703125	0.6679045128
54	0.703875	0.6666046416
55	0.7033125	0.6657557144
56	0.704125	0.6646272079
57	0.704625	0.6632663096
58	0.7048125	0.6620009622
59	0.7051875	0.6609089954
60	0.7041875	0.6598011396
61	0.7041875	0.6587068274
62	0.7043125	0.6582425476
63	0.7041875	0.6575009568
64	0.7045625	0.65660186
65	0.7045625	0.6558658343
66	0.70475	0.6549956782
67	0.7048125	0.6542715705
68	0.7055	0.6535287713
69	0.7050625	0.6526782044
70	0.705125	0.6519035814
71	0.70575	0.6510663222
72	0.70575	0.6502564941
73	0.705375	0.6497342678
74	0.7055	0.6488568994
75	0.705375	0.6484813704
76	0.7055625	0.648005499
77	0.7061875	0.6474526517
78	0.7064375	0.6470426149
79	0.7061875	0.6466036667
80	0.706125	0.6461711201
81	0.7064375	0.6458952489
82	0.7061875	0.6454048227
83	0.70625	0.6446844719
84	0.7063125	0.6442157889
85	0.706	0.64369344
86	0.70625	0.6433704018
87	0.706375	0.643360521
88	0.706625	0.6430248614
89	0.7063125	0.6424919401
90	0.7060625	0.6421271668
91	0.7061875	0.6414648879
92	0.7065	0.641079027
93	0.706375	0.6405761672
94	0.7069375	0.6401692183
95	0.706875	0.6398709902
96	0.70675	0.6393736812
97	0.7064375	0.6393001975
98	0.7066875	0.6390987302
99	0.70675	0.6386772527
100	0.70675	0.6382605245
101	0.7070625	0.6381398582
102	0.7066875	0.6378746235
103	0.7075	0.637317736
104	0.7068125	0.6370761221
105	0.7071875	0.6366384312
106	0.707125	0.6363689062
107	0.7071875	0.6358374558
108	0.707375	0.6353866743
109	0.7074375	0.6351325617
110	0.7073125	0.6349922398
111	0.707125	0.6348464813
112	0.7071875	0.6346627248
113	0.7075625	0.6342550071
114	0.707875	0.6341043558
115	0.707875	0.6334711428
116	0.7079375	0.6331217049
117	0.7080625	0.6328695557
118	0.7081875	0.6326064714
119	0.708625	0.6322999061
120	0.7088125	0.6320193389
121	0.7088125	0.63175866
122	0.7085	0.631686137
123	0.7088125	0.6312346904
124	0.7091875	0.6310610644
125	0.7090625	0.6305425071
126	0.709	0.6304434604
127	0.708875	0.6302370591
128	0.70925	0.6300113801
129	0.70925	0.6298091242
130	0.7095625	0.6296302936
131	0.709625	0.6292237361
132	0.7095625	0.6290238123
133	0.7105625	0.6287877986
134	0.7105	0.6283854776
135	0.7105625	0.6280871777
136	0.7105	0.6278680511
