iter	Passed	Remaining
0	319	223517
1	443	154825
2	545	126766
3	633	110279
4	718	99830
5	809	93627
6	936	92671
7	1080	93492
8	1204	92516
9	1326	91554
10	1462	91588
11	1626	93227
12	1780	94079
13	1895	92891
14	2009	91770
15	2160	92343
16	2280	91635
17	2393	90689
18	2492	89344
19	2592	88133
20	2685	86815
21	2786	85885
22	2882	84842
23	2982	84018
24	3093	83511
25	3194	82813
26	3299	82238
27	3409	81834
28	3507	81161
29	3588	80143
30	3680	79429
31	3772	78754
32	3872	78270
33	3964	77650
34	4055	77046
35	4135	76273
36	4213	75510
37	4294	74815
38	4374	74140
39	4444	73335
40	4532	72854
41	4605	72158
42	4677	71466
43	4755	70895
44	4834	70366
45	4912	69848
46	4986	69285
47	5062	68769
48	5136	68242
49	5222	67888
50	5297	67419
51	5381	67059
52	5468	66759
53	5553	66438
54	5684	66668
55	5733	65931
56	5813	65575
57	5885	65146
58	5966	64827
59	6046	64492
60	6134	64259
61	6229	64099
62	6272	63423
63	6357	63174
64	6444	62953
65	6525	62683
66	6605	62408
67	6698	62259
68	6782	62029
69	6874	61867
70	6965	61708
71	7053	61520
72	7163	61529
73	7272	61518
74	7382	61518
75	7440	61087
76	7525	60891
77	7626	60815
78	7733	60789
79	7874	61026
80	7984	61015
81	8028	60510
82	8118	60351
83	8217	60259
84	8330	60272
85	8426	60161
86	8516	60008
87	8549	59459
88	8659	59451
89	8773	59466
90	8895	59528
91	9008	59532
92	9105	59429
93	9229	59499
94	9345	59517
95	9447	59440
96	9550	59373
97	9577	58831
98	9668	58695
99	9773	58643
100	9874	58564
101	10002	58639
102	10080	58430
103	10160	58226
104	10277	58238
105	10412	58347
106	10510	58247
107	10610	58162
108	10695	57993
109	10778	57814
110	10900	57840
111	10993	57716
112	11089	57606
113	11177	57456
114	11299	57482
115	11410	57446
116	11503	57318
117	11636	57392
118	11741	57327
119	11881	57427
120	12004	57444
121	12104	57347
122	12142	56963
123	12266	56980
124	12412	57097
125	12532	57093
126	12602	56862
127	12695	56731
128	12822	56757
129	12935	56716
130	13045	56661
131	13115	56438
132	13223	56374
133	13335	56326
134	13420	56166
135	13539	56149
136	13636	56037
137	13710	55836
138	13833	55833
139	13953	55815
140	14042	55670
141	14129	55521
142	14235	55449
143	14350	55408
144	14476	55408
145	14596	55385
146	14732	55422
147	14807	55226
148	14904	55118
149	15001	55006
150	15086	54851
151	15169	54688
152	15244	54502
153	15334	54366
154	15355	53990
155	15444	53858
156	15528	53708
157	15576	53433
158	15659	53281
159	15802	53331
160	15919	53295
161	16044	53284
162	16114	53089
163	16244	53092
164	16375	53097
165	16487	53039
166	16576	52906
167	16654	52740
168	16763	52671
169	16808	52403
170	16929	52372
171	17061	52373
172	17129	52179
173	17195	51981
174	17298	51895
175	17403	51814
176	17429	51500
177	17503	51330
178	17588	51191
179	17670	51047
180	17788	51006
181	17858	50829
182	17985	50812
183	18096	50750
184	18165	50569
185	18276	50505
186	18401	50480
187	18531	50467
188	18660	50453
189	18740	50304
190	18809	50126
191	18933	50094
192	19056	50060
193	19129	49895
194	19233	49809
195	19352	49763
196	19452	49668
197	19543	49548
198	19625	49407
199	19739	49347
200	19853	49288
201	19936	49149
202	20012	48997
203	20109	48892
204	20205	48788
205	20281	48636
206	20434	48668
207	20540	48585
208	20626	48457
209	20716	48339
210	20789	48180
211	20855	48006
212	20957	47917
213	21034	47769
214	21132	47671
215	21215	47538
216	21316	47447
217	21395	47306
218	21491	47201
219	21582	47089
220	21657	46940
221	21726	46781
222	21800	46630
223	21877	46490
224	21969	46379
225	22045	46236
226	22116	46083
227	22203	45965
228	22286	45837
229	22358	45690
230	22444	45568
231	22523	45435
232	22614	45325
233	22691	45188
234	22759	45035
235	22864	44953
236	22998	44929
237	23100	44841
238	23197	44744
239	23309	44677
240	23390	44548
241	23501	44478
242	23615	44413
243	23695	44283
244	23818	44234
245	23933	44170
246	24058	44124
247	24136	43990
248	24213	43856
249	24323	43782
250	24405	43657
251	24496	43549
252	24583	43434
253	24689	43353
254	24765	43218
255	24863	43123
256	24964	43031
257	25084	42974
258	25152	42826
259	25246	42725
260	25385	42698
261	25492	42616
262	25566	42480
263	25645	42353
264	25751	42271
265	25877	42220
266	25987	42145
267	26076	42033
268	26144	41888
269	26267	41834
270	26349	41711
271	26463	41640
272	26541	41513
273	26623	41392
274	26710	41280
275	26802	41175
276	26870	41033
277	26961	40926
278	27068	40845
279	27137	40706
280	27250	40633
281	27371	40571
282	27473	40482
283	27611	40444
284	27694	40327
285	27765	40192
286	27898	40146
287	28019	40082
288	28091	39950
289	28208	39880
290	28325	39811
291	28429	39723
292	28557	39669
293	28644	39556
294	28721	39430
295	28827	39345
296	28911	39229
297	29018	39145
298	29133	39071
299	29223	38965
300	29333	38884
301	29419	38771
302	29485	38632
303	29608	38569
304	29738	38513
305	29862	38450
306	29988	38389
307	30075	38277
308	30175	38183
309	30271	38083
310	30386	38007
311	30487	37914
312	30590	37822
313	30703	37743
314	30784	37625
315	30866	37509
316	30962	37408
317	31052	37301
318	31134	37185
319	31213	37066
320	31307	36964
321	31395	36855
322	31467	36728
323	31572	36639
324	31687	36562
325	31807	36491
326	31891	36378
327	31961	36248
328	32071	36165
329	32161	36059
330	32282	35988
331	32399	35912
332	32534	35856
333	32616	35741
334	32736	35668
335	32838	35575
336	32943	35485
337	33050	35397
338	33124	35274
339	33225	35180
340	33350	35111
341	33435	35000
342	33516	34884
343	33589	34761
344	33695	34671
345	33785	34567
346	33903	34490
347	33970	34360
348	34058	34253
349	34186	34186
350	34311	34116
351	34442	34051
352	34551	33964
353	34638	33855
354	34731	33752
355	34849	33675
356	34963	33591
357	35075	33507
358	35145	33383
359	35245	33287
360	35383	33226
361	35531	33175
362	35651	33098
363	35736	32987
364	35826	32881
365	35922	32781
366	36019	32682
367	36146	32610
368	36236	32505
369	36317	32391
370	36401	32280
371	36493	32177
372	36579	32068
373	36661	31956
374	36745	31846
375	36835	31740
376	36923	31634
377	37018	31534
378	37100	31423
379	37198	31325
380	37286	31218
381	37366	31106
382	37460	31004
383	37552	30902
384	37627	30786
385	37708	30675
386	37799	30571
387	37881	30461
388	37959	30347
389	38042	30238
390	38138	30140
391	38247	30051
392	38339	29949
393	38425	29842
394	38525	29747
395	38619	29646
396	38693	29532
397	38815	29452
398	38913	29355
399	38991	29243
400	39077	29137
401	39169	29036
402	39272	28943
403	39383	28855
404	39504	28775
405	39624	28693
406	39711	28588
407	39817	28497
408	39931	28411
409	40027	28312
410	40128	28216
411	40212	28109
412	40292	27999
413	40389	27902
414	40465	27789
415	40561	27691
416	40655	27591
417	40745	27488
418	40848	27394
419	40946	27297
420	41063	27213
421	41142	27103
422	41268	27024
423	41358	26921
424	41440	26814
425	41534	26714
426	41658	26634
427	41812	26572
428	41927	26485
429	42041	26398
430	42117	26286
431	42204	26182
432	42327	26100
433	42455	26020
434	42583	25941
435	42706	25859
436	42778	25745
437	42864	25640
438	42961	25542
439	43038	25431
440	43116	25322
441	43222	25229
442	43337	25141
443	43473	25065
444	43569	24967
445	43645	24856
446	43760	24767
447	43876	24680
448	43970	24580
449	44057	24476
450	44137	24368
451	44270	24289
452	44466	24245
453	44586	24159
454	44697	24067
455	44805	23975
456	44886	23867
457	44966	23759
458	45051	23654
459	45141	23552
460	45232	23450
461	45322	23347
462	45438	23259
463	45518	23151
464	45617	23053
465	45751	22974
466	45850	22876
467	45932	22769
468	46032	22672
469	46107	22563
470	46220	22472
471	46350	22389
472	46464	22299
473	46562	22200
474	46649	22097
475	46724	21987
476	46848	21901
477	46955	21807
478	47063	21714
479	47133	21602
480	47226	21502
481	47341	21411
482	47422	21305
483	47521	21208
484	47594	21098
485	47703	21005
486	47803	20907
487	47913	20814
488	48036	20727
489	48106	20617
490	48223	20526
491	48349	20440
492	48481	20356
493	48595	20264
494	48679	20160
495	48776	20061
496	48864	19958
497	48965	19861
498	49056	19760
499	49127	19651
500	49253	19563
501	49349	19464
502	49467	19374
503	49571	19277
504	49661	19176
505	49732	19067
506	49817	18964
507	49950	18878
508	50031	18774
509	50165	18689
510	50271	18593
511	50338	18483
512	50463	18394
513	50594	18308
514	50698	18212
515	50805	18116
516	50883	18011
517	50958	17904
518	51084	17815
519	51177	17715
520	51272	17615
521	51358	17513
522	51434	17407
523	51528	17307
524	51611	17203
525	51686	17097
526	51757	16990
527	51848	16889
528	51948	16792
529	52034	16690
530	52113	16586
531	52196	16483
532	52308	16389
533	52375	16281
534	52477	16184
535	52595	16092
536	52706	15998
537	52798	15898
538	52869	15792
539	52948	15688
540	53041	15589
541	53164	15498
542	53271	15402
543	53401	15313
544	53518	15220
545	53618	15123
546	53770	15039
547	53843	14934
548	53913	14828
549	54026	14734
550	54101	14630
551	54197	14531
552	54289	14431
553	54383	14332
554	54457	14227
555	54529	14122
556	54615	14021
557	54701	13920
558	54828	13829
559	54961	13740
560	55054	13641
561	55126	13536
562	55244	13443
563	55368	13351
564	55497	13260
565	55629	13170
566	55748	13076
567	55829	12974
568	55906	12871
569	55983	12768
570	56107	12675
571	56213	12579
572	56329	12484
573	56412	12383
574	56545	12292
575	56646	12194
576	56724	12092
577	56803	11989
578	56872	11885
579	56963	11785
580	57055	11686
581	57163	11589
582	57264	11492
583	57359	11393
584	57459	11295
585	57547	11195
586	57620	11092
587	57695	10989
588	57820	10896
589	57964	10806
590	58057	10707
591	58129	10604
592	58223	10505
593	58328	10408
594	58457	10316
595	58587	10223
596	58673	10122
597	58742	10019
598	58830	9919
599	58915	9819
600	58994	9717
601	59070	9616
602	59149	9514
603	59239	9415
604	59359	9320
605	59444	9220
606	59514	9118
607	59641	9024
608	59759	8929
609	59882	8835
610	59995	8739
611	60074	8638
612	60160	8538
613	60286	8444
614	60415	8350
615	60524	8253
616	60655	8159
617	60766	8062
618	60834	7960
619	60928	7861
620	60994	7759
621	61107	7663
622	61189	7562
623	61283	7464
624	61356	7362
625	61471	7266
626	61555	7166
627	61631	7066
628	61756	6970
629	61875	6875
630	62004	6780
631	62078	6679
632	62148	6578
633	62242	6479
634	62344	6381
635	62472	6286
636	62567	6187
637	62637	6087
638	62747	5989
639	62816	5889
640	62930	5792
641	63026	5693
642	63095	5593
643	63169	5493
644	63243	5392
645	63357	5296
646	63446	5197
647	63534	5098
648	63606	4998
649	63714	4901
650	63834	4804
651	63911	4705
652	63980	4605
653	64073	4506
654	64190	4410
655	64290	4312
656	64423	4216
657	64524	4118
658	64630	4021
659	64711	3921
660	64783	3822
661	64865	3723
662	64964	3625
663	65044	3526
664	65195	3431
665	65313	3334
666	65435	3237
667	65581	3141
668	65653	3042
669	65730	2943
670	65824	2844
671	65894	2745
672	65993	2647
673	66065	2548
674	66143	2449
675	66232	2351
676	66381	2255
677	66508	2158
678	66606	2060
679	66697	1961
680	66768	1862
681	66862	1764
682	66947	1666
683	67037	1568
684	67119	1469
685	67197	1371
686	67279	1273
687	67372	1175
688	67442	1076
689	67511	978
690	67635	880
691	67773	783
692	67883	685
693	67966	587
694	68061	489
695	68143	391
696	68224	293
697	68305	195
698	68379	97
699	68500	0
