city,state,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,vehicles_involved,is_peak_hour,accident_severity
Kolkata,West Bengal,4,Saturday,1,highway,3,0,clear,high,33,low,distraction,5,0,fatal
Pune,Maharashtra,5,Friday,0,urban,5,1,clear,high,31,medium,drunk driving,2,0,minor
Kolkata,West Bengal,16,Wednesday,0,urban,6,1,fog,low,28,high,drunk driving,3,0,major
Chennai,Tamil Nadu,2,Tuesday,0,highway,4,0,fog,low,40,low,weather,5,0,major
Pune,Maharashtra,6,Tuesday,0,rural,1,0,rain,low,40,high,overspeeding,4,0,major
Mumbai,Maharashtra,20,Sunday,1,rural,1,0,clear,high,20,high,weather,4,0,minor
Pune,Maharashtra,19,Monday,0,urban,4,1,clear,high,26,medium,poor road,5,1,minor
Chandigarh,Punjab,21,Sunday,1,urban,5,1,rain,low,25,medium,distraction,4,0,major
Chandigarh,Punjab,2,Tuesday,0,urban,5,1,clear,high,27,medium,drunk driving,2,0,minor
Chandigarh,Punjab,2,Friday,0,highway,1,0,clear,high,21,medium,poor road,3,0,fatal
Hyderabad,Telangana,5,Thursday,0,highway,6,0,clear,high,15,high,overspeeding,2,0,major
Kolkata,West Bengal,1,Sunday,1,urban,4,0,clear,high,16,low,distraction,1,0,fatal
Bangalore,Karnataka,5,Saturday,1,highway,1,1,rain,medium,31,medium,drunk driving,5,0,major
Mumbai,Maharashtra,23,Thursday,0,highway,4,0,clear,high,24,high,poor road,2,0,minor
Kolkata,West Bengal,8,Tuesday,0,urban,5,1,clear,high,31,high,weather,5,1,minor
Mumbai,Maharashtra,4,Thursday,0,urban,5,0,fog,low,34,low,weather,4,0,major
Hyderabad,Telangana,4,Thursday,0,urban,1,1,clear,high,19,low,overspeeding,1,0,minor
Chandigarh,Punjab,8,Thursday,0,rural,4,0,fog,low,21,high,drunk driving,3,1,major
Mumbai,Maharashtra,18,Wednesday,0,urban,2,1,fog,low,27,high,drunk driving,2,1,minor
Pune,Maharashtra,18,Monday,0,highway,3,0,clear,high,20,high,weather,1,1,major
Hyderabad,Telangana,3,Monday,0,rural,2,0,clear,high,25,low,overspeeding,3,0,minor
Mumbai,Maharashtra,3,Wednesday,0,urban,2,0,fog,low,33,low,drunk driving,4,0,minor
Chandigarh,Punjab,12,Wednesday,0,rural,5,0,clear,high,30,medium,distraction,1,0,fatal
Chandigarh,Punjab,19,Saturday,1,highway,2,0,rain,medium,36,high,drunk driving,1,1,minor
Mumbai,Maharashtra,22,Monday,0,rural,4,1,rain,low,33,medium,drunk driving,5,0,major
Chennai,Tamil Nadu,8,Saturday,1,rural,3,1,clear,high,37,medium,distraction,5,1,minor
Hyderabad,Telangana,2,Friday,0,urban,5,1,fog,low,16,low,distraction,1,0,fatal
Bangalore,Karnataka,2,Friday,0,rural,2,0,clear,high,28,low,distraction,2,0,fatal
Bangalore,Karnataka,18,Friday,0,rural,1,1,fog,low,38,medium,weather,4,1,major
Chandigarh,Punjab,23,Tuesday,0,rural,3,0,rain,medium,34,low,drunk driving,1,0,minor
Chandigarh,Punjab,3,Friday,0,urban,4,0,rain,medium,37,low,overspeeding,2,0,minor
Delhi,Delhi,1,Sunday,1,rural,3,0,fog,low,32,medium,distraction,2,0,minor
Chandigarh,Punjab,1,Monday,0,rural,3,0,clear,high,34,low,weather,2,0,fatal
Mumbai,Maharashtra,21,Friday,0,urban,4,0,rain,medium,30,low,distraction,3,0,minor
Chandigarh,Punjab,20,Friday,0,highway,2,0,clear,high,17,low,weather,3,0,major
Kolkata,West Bengal,23,Tuesday,0,rural,6,0,rain,low,23,high,poor road,3,0,minor
Bangalore,Karnataka,9,Sunday,1,highway,2,1,fog,low,24,medium,weather,3,1,minor
Pune,Maharashtra,0,Wednesday,0,urban,5,0,clear,high,36,low,overspeeding,5,0,minor
Chennai,Tamil Nadu,17,Saturday,1,urban,3,1,rain,medium,20,medium,overspeeding,5,1,major
Hyderabad,Telangana,10,Tuesday,0,rural,3,1,clear,high,29,high,overspeeding,2,1,minor
Hyderabad,Telangana,20,Thursday,0,rural,1,1,clear,high,30,medium,weather,1,0,fatal
Bangalore,Karnataka,15,Friday,0,highway,1,1,clear,high,18,low,drunk driving,3,0,major
Kolkata,West Bengal,11,Thursday,0,highway,2,1,fog,low,38,high,weather,4,0,major
Hyderabad,Telangana,6,Wednesday,0,rural,4,1,fog,low,15,high,drunk driving,5,0,major
Chandigarh,Punjab,4,Monday,0,highway,4,0,rain,low,37,medium,overspeeding,5,0,major
Pune,Maharashtra,19,Tuesday,0,urban,2,1,clear,high,23,high,poor road,4,1,minor
Delhi,Delhi,11,Thursday,0,highway,6,1,clear,high,16,low,distraction,3,0,minor
Delhi,Delhi,20,Friday,0,highway,4,1,fog,low,16,low,weather,1,0,minor
Pune,Maharashtra,19,Tuesday,0,highway,2,0,fog,low,21,high,poor road,3,1,major
Hyderabad,Telangana,18,Wednesday,0,highway,3,1,fog,low,19,low,poor road,1,1,minor
Mumbai,Maharashtra,8,Monday,0,highway,2,0,clear,high,19,medium,weather,5,1,major
Delhi,Delhi,5,Tuesday,0,highway,1,0,clear,high,29,low,overspeeding,3,0,major
Bangalore,Karnataka,13,Saturday,1,highway,5,0,fog,low,37,low,drunk driving,3,0,major
Pune,Maharashtra,22,Saturday,1,highway,4,1,rain,low,33,low,distraction,4,0,minor
Mumbai,Maharashtra,15,Tuesday,0,rural,6,0,rain,medium,20,high,weather,4,0,major
Kolkata,West Bengal,8,Saturday,1,highway,1,1,rain,low,27,high,overspeeding,2,1,major
Pune,Maharashtra,0,Friday,0,highway,3,1,rain,medium,15,high,poor road,4,0,major
Delhi,Delhi,5,Saturday,1,urban,6,1,fog,low,30,medium,poor road,3,0,minor
Mumbai,Maharashtra,8,Wednesday,0,highway,6,0,clear,high,21,medium,poor road,1,1,minor
Bangalore,Karnataka,3,Thursday,0,urban,6,0,fog,low,23,low,distraction,1,0,minor
Chandigarh,Punjab,11,Monday,0,highway,1,0,rain,medium,31,low,weather,3,0,major
Chandigarh,Punjab,16,Tuesday,0,highway,1,1,rain,medium,30,medium,drunk driving,1,0,major
Pune,Maharashtra,22,Friday,0,rural,5,0,clear,high,39,low,distraction,5,0,major
Pune,Maharashtra,0,Tuesday,0,rural,6,0,clear,high,32,high,distraction,4,0,major
Hyderabad,Telangana,12,Saturday,1,rural,5,0,fog,low,21,high,drunk driving,1,0,major
Chennai,Tamil Nadu,6,Saturday,1,rural,6,0,fog,low,26,low,distraction,2,0,minor
Delhi,Delhi,4,Saturday,1,urban,4,0,fog,low,36,low,distraction,5,0,fatal
Mumbai,Maharashtra,4,Sunday,1,highway,3,1,rain,medium,31,low,poor road,2,0,minor
Delhi,Delhi,19,Monday,0,highway,6,0,clear,high,26,medium,poor road,5,1,major
Kolkata,West Bengal,20,Wednesday,0,highway,1,1,clear,high,40,low,poor road,4,0,minor
Pune,Maharashtra,6,Monday,0,urban,5,1,fog,low,21,medium,poor road,3,0,minor
Kolkata,West Bengal,0,Saturday,1,urban,6,1,fog,low,38,medium,overspeeding,4,0,major
Mumbai,Maharashtra,22,Sunday,1,rural,2,0,rain,medium,34,high,drunk driving,3,0,major
Delhi,Delhi,6,Friday,0,highway,3,0,fog,low,24,medium,overspeeding,4,0,major
Delhi,Delhi,16,Sunday,1,urban,3,0,clear,high,37,medium,poor road,2,0,fatal
Chandigarh,Punjab,12,Tuesday,0,urban,2,0,fog,low,23,medium,poor road,5,0,major
Hyderabad,Telangana,7,Wednesday,0,urban,4,0,clear,high,17,high,poor road,2,0,fatal
Hyderabad,Telangana,19,Sunday,1,urban,5,1,clear,high,28,high,overspeeding,1,1,major
Hyderabad,Telangana,12,Thursday,0,urban,1,0,fog,low,39,low,distraction,4,0,minor
Bangalore,Karnataka,19,Friday,0,rural,6,1,clear,high,38,medium,weather,5,1,major
Pune,Maharashtra,5,Monday,0,urban,5,0,clear,high,36,medium,poor road,3,0,minor
Hyderabad,Telangana,23,Saturday,1,rural,5,1,rain,low,32,high,poor road,1,0,minor
Bangalore,Karnataka,21,Monday,0,rural,6,0,fog,low,21,medium,poor road,2,0,minor
Hyderabad,Telangana,19,Saturday,1,rural,1,0,fog,low,23,high,poor road,3,1,minor
Kolkata,West Bengal,14,Tuesday,0,rural,3,0,rain,low,30,medium,overspeeding,3,0,major
Bangalore,Karnataka,0,Sunday,1,highway,1,0,clear,high,20,low,distraction,1,0,minor
Chennai,Tamil Nadu,17,Tuesday,0,highway,4,0,fog,low,16,medium,weather,3,1,major
Bangalore,Karnataka,9,Tuesday,0,highway,1,1,rain,medium,26,medium,weather,5,1,major
Chennai,Tamil Nadu,16,Monday,0,urban,1,0,clear,high,29,high,distraction,4,0,minor
Pune,Maharashtra,11,Friday,0,urban,1,0,rain,medium,33,low,poor road,5,0,minor
Pune,Maharashtra,23,Friday,0,rural,5,0,clear,high,25,medium,overspeeding,4,0,major
Hyderabad,Telangana,10,Sunday,1,highway,5,0,rain,medium,18,medium,poor road,4,1,major
Kolkata,West Bengal,1,Tuesday,0,highway,6,0,rain,low,24,medium,overspeeding,2,0,major
Chandigarh,Punjab,14,Saturday,1,urban,2,0,rain,low,36,low,poor road,2,0,fatal
Hyderabad,Telangana,5,Sunday,1,highway,1,1,clear,high,26,medium,overspeeding,5,0,major
Mumbai,Maharashtra,8,Monday,0,highway,6,0,rain,medium,23,high,weather,4,1,major
Mumbai,Maharashtra,8,Friday,0,rural,2,0,clear,high,19,high,drunk driving,4,1,major
Hyderabad,Telangana,7,Monday,0,highway,2,1,clear,high,25,high,weather,4,0,major
Delhi,Delhi,15,Saturday,1,urban,2,0,rain,medium,35,medium,distraction,5,0,major
Hyderabad,Telangana,22,Saturday,1,urban,4,1,clear,high,27,high,drunk driving,3,0,major
Kolkata,West Bengal,10,Saturday,1,highway,6,0,fog,low,26,high,weather,1,1,major
Chennai,Tamil Nadu,9,Thursday,0,rural,5,0,clear,high,24,medium,weather,1,1,fatal
